Common Name,Binomial Name,Genus,Species,Sub-Species,Kingdom Name,Nativeness,Book Category,seen wild locally,photo,uncertain,notes
Western Forest Scorpion,Uroctonus mordax,Uroctonus,mordax,,Animals,Local Native,Miscellaneous Animals,Yes,Untitled 3 46.png,No,
American Century Plant,Agave americana,Agave,americana,,Plants,Introduced,Miscellaneous Plants,Yes,Untitled 66.png,No,
Giant Moss,Dendroalsia abietina,Dendroalsia,abietina,,Plants,Local Native,Miscellaneous Plants,Yes,Untitled-1 3.png; Untitled 67.png,No,
Selwyn's Smoothcap,Atrichum selwynii,Atrichum,selwynii,,Plants,Local Native,Miscellaneous Plants,Yes,Untitled 3 47.png,No,
Red Hot Poker,Kniphofia uvaria,Kniphofia,uvaria,,Plants,Introduced,Non-native Landscapees,No,F2E1C691-ECB9-422B-9907-AB4F14FF9E56.JPG,No,
Torch Cactus,Trichocereus spachianus,Trichocereus,spachianus,,Animals,Introduced,Non-native Landscapees,No,Untitled 68.png,No,
Forest Sharp-tailed Snake,Contia longicauda,Contia,longicauda,,Animals,Local Native,Reptiles,Yes,Untitled 69.png,Yes,
Garter Snake,,,,,Plants,Local Native,Reptiles,Yes,,No,
Gopher Snake,Pituophis catenifer,Pituophis,catenifer,,Animals,Local Native,Reptiles,Yes,IMG_6020.HEIC,No,
Ring-necked Snake,Diadophis punctatus,Diadophis,punctatus,,Animals,Local Native,Reptiles,Yes,F5A28A0D-2887-4598-9DB3-3E45F4B1C6B4.JPG,No,
Southern Aligator Lizard,Elgaria multicarinata,Elgaria,multicarinata,,Animals,Local Native,Reptiles,Yes,Untitled 70.png,No,
Striped Racer,,,,,Animals,Local Native,Reptiles,Yes,,No,
Western Fence Lizard,Sceloporus occidentalis,Sceloporus,occidentalis,,Animals,Local Native,Reptiles,Yes,Untitled 3 48.png; Untitled 71.png; Untitled-1 4.png,No,
Western Rattlesnake,Crotalus oreganus,Crotalus,oreganus,,Animals,Local Native,Reptiles,Yes,Untitled 3 49.png; Untitled 72.png,No,
Bigpod Ceanothus,Ceanothus megacarpus,Ceanothus,megacarpus,,Plants,Local Native,Shrubs,Yes,Untitled 73.png,No,
Brittleleaf Manzanita,Arctostaphylos crustacea,Arctostaphylos,crustacea,,Plants,Local Native,Shrubs,Yes,Untitled 2 10.png,No,
Buck Brush,Ceanothus cuneatus,Ceanothus,cuneatus,,Plants,Local Native,Shrubs,Yes,Untitled 19 1.png,No,
Bush Poppy,Dendromecon rigida,Dendromecon,rigida,,Plants,Local Native,Shrubs,Yes,Untitled 74.png,No,
California Blackberry,Rubus ursinus,Rubus,ursinus,,Plants,Local Native,Shrubs,Yes,,No,
California Pitcher Sage,Lepechinia calycina,Lepechinia,calycina,,Plants,Local Native,Shrubs,Yes,Untitled 3 50.png,No,
California Sagebrush,Artemisia californica,Artemisia,californica,,Plants,Local Native,Shrubs,Yes,Untitled 3 51.png,No,
Chamise,Adenostoma fasciculatum,Adenostoma,fasciculatum,,Plants,Local Native,Shrubs,Yes,Untitled-1 5.png; Untitled 75.png,No,
Chaparral Currant,Ribes malvaceum,Ribes,malvaceum,,Plants,Local Native,Shrubs,No,,Yes,
Chaparral Pea,Pickeringia montana,Pickeringia,montana,,Plants,Local Native,Shrubs,Yes,Untitled 76.png,No,
Coffeeberry,Frangula californica,Frangula,californica,,Plants,Local Native,Shrubs,Yes,Untitled 3 52.png,No,
Coyote Brush,Baccharis pilularis,Baccharis,pilularis,,Plants,Local Native,Shrubs,Yes,,No,
Coyote Mint,Monardella villosa,Monardella,villosa,,Plants,Local Native,Shrubs,Yes,Untitled 3 53.png,No,
Creeping Snowberry,Symphoricarpos mollis,Symphoricarpos,mollis,,Plants,Local Native,Shrubs,Yes,928BD360-48CB-42AF-9BD4-E926E4DFD3E4.JPG; Untitled 8 1.png,No,
Deer Brush,Ceanothus integerrimus,Ceanothus,integerrimus,,Plants,Local Native,Shrubs,Yes,,Yes,
Deerweed,Acmispon glaber,Acmispon,glaber,,Plants,Local Native,Shrubs,Yes,Untitled 3 54.png,No,
French Broom,Genista monspessulana,Genista,monspessulana,,Plants,Invasive,Shrubs,Yes,,No,
Golden Yarrow,Eriophyllum confertiflorum,Eriophyllum,confertiflorum,,Plants,Local Native,Shrubs,Yes,Untitled 77.png,No,
Goldenbush,Ericameria arborescens,Ericameria,arborescens,,Plants,Regional Native,Shrubs,No,,Yes,
Hollyleaf Cherry,Prunus ilicifolia,Prunus,ilicifolia,,Plants,Local Native,Shrubs,Yes,Untitled 3 55.png,No,
Ocean Spray,Holodiscus discolor,Holodiscus,discolor,,Plants,Local Native,Shrubs,Yes,Untitled 78.png,No,
Pink Honeysuckle,Lonicera hispidula,Lonicera,hispidula,,Plants,Local Native,Shrubs,Yes,60865DC8-DA67-48F4-81DC-94CA52A98FAB_1_201_a.jpeg,No,
Poison Oak,Toxicodendron diversilobum,Toxicodendron,diversilobum,,Plants,Local Native,Shrubs,Yes,B1DB5FDF-39AC-4A81-B196-5C776150261A.JPG,No,
Red Flowering Currant,Ribes sanguineum,Ribes,sanguineum,,Plants,Local Native,Shrubs,Yes,,Yes,
Sticky Monkeyflower,Diplacus aurantiacus,Diplacus,aurantiacus,,Plants,Local Native,Shrubs,Yes,B616EB28-3C3B-467F-A72D-F9E829770600_1_201_a.jpeg,No,
Tree-Anemone,Carpenteria californica,Carpenteria,californica,,Plants,Regional Native,Shrubs,No,Untitled 3 56.png,No,
